NOMBRE DEL CENTRO
Las Tortuguitas
Las Almendras
Sueño de Hadas
Caperucita Roja
Gotitas de Esperanza
Nueve Lunas
Las Tortuguitas II
Manitos Traviesas
Cabellito
Bambi II
Haciendo Huellas I
Mundo Ternura
Pompitas de Colores
Piolin II
Camalote II
Horneritos
Takuaré
Ardillitas de Algodón II
Yvyrá del Sur
Villa Manuela
Parque del Plata
Los Pinitos
Vista Linda
Rayito de Sol
Blancanieves 
Materno Infantil Santa Lucía
Materno Infantil  Caritas
Estación Atlántida
Rodriguez Zorrilla
Obra Social del Lago
Los Horneritos
El Principito
Ecofamilia
Por Nuestros Niños
Trencito de colores
La Ronda
Caif Vida y Educación
Nuestros Locos Bajitos
Sagrado Corazón De Jesus II
Caif Nuestra Señora de Guadalupe
Mi Casita de Migues
Mitai
Villa Felicidad
CEMIC 
María del Pinar
Huracanitos II 
Arapí
Brasitas
Luz de Luna
Moiru
Villa Laures III
Los Periquitos I
La Anunciación III
ADSIS PASO
Fraternidad
San José II
Newén
Creando Lazos
Hipódromo las Piedras
Sumando Sueños
Cultivando Risas
Festichicos
Las Piedritas
Raíces y Alas
Semillas Afectos
Fogón de Luz
Los Cerrillos
San Luis
Peques I
El Arca
El Jacarandá
Campanitas Alegres I 
Sonrisas Infantiles
La Paz
De Las Achiras
Niños de la Costa
Clieps Pinar
CLIEPS Colinas
Colibríes 
Marindia II
Fátima
Mburucuyá
CAIF Suárez II
Aprendiendo Juntos
Villa Tálice
CAIF 18 de Mayo
Villa Guadalupe
CAIF Bambú
CAIF La Esperanza
Sabiá
Casa Caracol
DALÍ
Barriletes
Nuestra Sra. De Las Mercedes
Sagrada Familia Cerro Largo
 Las Flores
Casa del Niño
Integral de Desarrollo Infantil
El Jardín
Municipal Barrio Collazo
Fundación Quebracho 
Abejitas Laboriosas
Caif Colibrí
Obreritos
La Casa De Obdulia
Diego Lamas
Gurisito de Río Branco
Chiquillada de Melo
Uniendo Generaciones
 Cañas  
Mis Primeros Pasos Aceguá 
Garabatos Melo Cerro Largo
Dejando Huellas
CAIF Picapiedras
Los Sabalitos
Las Hormiguitas Colonia
Mi Casita 
Manos Unidas
Centro Servicio Social El Pastoreo
Olof Palme 
Caif Haciendo Caminos
Dientitos de Leche
Ombúes de Lavalle 
Cuna de mis sueños
La Semillita
Racimito
Servir
Pasito a Pasito I
Las Ardillitas Colonia
Una pindó
Mis Manitos
Los Teritos
 Sagrada Familia Durazno
Policial Los Pollitos
Los Honguitos
Caif Travesuras 
Canikas
Las Familias de Cerro Chato
Los Picapiedras
Los Trompitos
Los Tigrecitos
Cobusu I
El Nido
La Higuerita
Los Horneritos laboriosos
Madriguera
Centenario
Gauchitos
Gallito Azul
Compromiso y Solidaridad
Garabato
Los Gorriones
Ismael Cortinas
La Casilla II
Pedrera
Capilla del Sauce
Mi Casita del Parque
11 Dionisio Diaz
Ceviur Infantil
CAIF Alberto Gallinal
Tabare  Los Indiecitos
Santancieri
25 De Agosto
Tierra de los  Artigas
Itanú
Las Palomitas II
Semillitas de Esperanza
Prado Español III SUPU
Los Cabritos
Los Cascabeles II
Grillita y Grillin
Dejando Huellitas
Marandú
San Juan Diego  II
Santa Clara de Asís II
Serranitos III
Casa Maternal AUPI
Pan de Azúcar
Piriápolis
Pintando Sonrisas
Luna Roja
Por Los Niños
Terroncitos de azucar I
Sonrisas y Futuro
Solcito
Las Semillitas  Maldonado II
Pan de Azúcar II
Carrousel
Entre Sueños II
San Miguel
Nuestra señora De Luxemburgo
Santa María
Abracitos
Casa Cuna Santa Rita
Casa Maternal La Casilla
Santa Mónica
Arcoiris
Plemuu
CADI I
Carrasco Norte
La Cruz de Carrasco
Casa de la Amistad
Obra Social Juan XXIII y Hermana Carmen
Mi Casita
Pinocho de Dios
